audit_id,cabsallm_disagree_AnyPSR,cabsallm_disagree_ATT,cabsallm_disagree_RS,cabsallm_disagree_SD,fewshot_disagree_AnyPSR,keyword_disagree_AnyPSR
AUD-0092,0,0,0,0,1,0
AUD-0093,0,0,0,0,0,0
AUD-0094,0,0,0,0,0,0
AUD-0095,0,0,0,0,0,1
AUD-0096,0,0,0,0,0,0
AUD-0097,0,0,0,0,0,1
AUD-0098,0,0,0,0,0,0
AUD-0099,0,0,0,0,0,0
AUD-0100,0,0,0,0,1,0
AUD-0101,0,0,0,0,0,1
AUD-0102,0,0,0,0,0,1
AUD-0103,0,0,0,0,0,1
AUD-0104,0,0,0,0,0,1
AUD-0105,0,0,0,0,0,1
AUD-0106,0,0,0,0,0,1
AUD-0107,0,0,0,0,0,0
AUD-0108,0,0,0,0,0,1
AUD-0109,0,0,0,0,0,0
AUD-0110,0,0,0,0,0,0
AUD-0111,0,0,0,0,0,0
AUD-0112,1,0,0,1,1,0
AUD-0113,0,0,0,0,0,1
AUD-0114,1,0,0,1,1,0
AUD-0115,1,0,0,1,0,0
AUD-0116,0,0,0,0,0,0
AUD-0117,0,0,0,0,0,0
AUD-0118,0,0,0,0,1,1
AUD-0119,1,0,1,0,1,0
AUD-0120,1,0,0,1,1,0
AUD-0121,0,0,0,0,0,0
AUD-0122,0,0,0,0,0,1
AUD-0123,0,0,0,0,1,1
AUD-0124,1,0,0,1,1,1
AUD-0125,1,0,0,1,1,1
AUD-0126,0,0,0,0,0,0
AUD-0127,0,0,0,0,0,0
AUD-0128,0,0,0,0,1,1
AUD-0129,0,0,0,0,0,0
AUD-0130,1,0,0,1,1,0
AUD-0131,0,0,0,0,0,1
AUD-0132,0,0,0,0,0,1
AUD-0133,1,0,0,1,1,0
AUD-0134,0,0,0,0,0,0
AUD-0135,0,0,0,0,0,0
AUD-0136,0,0,0,0,0,0
AUD-0137,0,0,0,0,0,1
AUD-0138,0,0,0,0,0,0
AUD-0139,0,0,0,0,0,1
AUD-0140,0,0,0,0,1,1
AUD-0141,1,0,0,1,1,0
AUD-0142,1,0,1,0,1,0
AUD-0143,0,0,0,0,0,1
AUD-0144,1,0,1,0,0,0
AUD-0145,1,0,0,1,1,0
AUD-0146,0,0,0,0,0,1
AUD-0147,0,0,0,0,0,1
AUD-0148,1,0,1,1,0,0
AUD-0149,0,0,0,0,0,1
AUD-0150,0,0,0,0,0,1
AUD-0151,0,0,0,0,0,1
AUD-0152,0,0,0,0,1,1
AUD-0153,0,0,0,0,1,1
AUD-0154,0,0,0,0,0,0
AUD-0155,0,0,0,0,0,1
AUD-0156,1,0,0,1,1,1
AUD-0157,0,0,0,0,1,1
AUD-0158,0,0,0,0,1,1
AUD-0159,0,0,0,0,0,1
AUD-0160,0,0,0,0,0,1
AUD-0161,1,0,0,1,0,0
AUD-0162,0,0,0,0,0,0
AUD-0163,0,0,0,0,1,1
AUD-0164,0,0,0,0,0,0
AUD-0165,0,0,0,0,1,1
AUD-0166,1,0,0,1,1,0
AUD-0167,1,0,0,1,0,0
AUD-0168,0,0,0,0,0,0
AUD-0169,0,0,0,0,0,1
AUD-0170,0,0,0,0,0,0
AUD-0171,0,0,0,0,0,0
AUD-0172,0,0,0,0,0,0
AUD-0173,0,0,0,0,0,0
AUD-0174,0,0,0,0,0,1
AUD-0175,0,0,0,0,0,0
AUD-0176,0,0,0,0,0,0
AUD-0177,0,0,0,0,0,0
AUD-0178,0,0,0,0,0,0
AUD-0179,0,0,0,0,0,0
AUD-0180,0,0,0,0,0,0
AUD-0181,0,0,0,0,0,1
AUD-0182,0,0,0,0,0,0
AUD-0183,0,0,0,0,0,1
AUD-0184,0,0,0,0,0,1
AUD-0185,0,0,0,0,0,0
AUD-0186,0,0,0,0,0,0
AUD-0187,0,0,0,0,0,1
AUD-0188,0,0,0,0,0,0
AUD-0189,0,0,0,0,0,1
AUD-0190,0,0,0,0,0,0
AUD-0191,0,0,0,0,1,1
AUD-0192,0,0,0,0,0,0
AUD-0193,0,0,0,0,0,1
AUD-0194,1,0,0,1,0,0
AUD-0195,0,0,0,0,0,1
AUD-0196,0,0,0,0,0,1
AUD-0197,0,0,0,0,0,0
AUD-0198,0,0,0,0,0,1
AUD-0199,0,0,0,0,0,1
AUD-0200,0,0,0,0,0,1
